id;year;month;hour;weekday;severity;light_condition;street_condition;bicycle;car;pedestrian;bike;truck;other;lng;lat;datetime;date
103;2016;11;17;Di;Leicht;Dunkelheit;Nass/Feucht;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,1262398860000;49,0578144230000;2016-11-01T17:00:00Z;2016-11-01
104;2016;11;5;So;Leicht;Dunkelheit;Trocken;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;12,1001935040000;49,0514634530000;2016-11-01T05:00:00Z;2016-11-01
105;2016;11;17;Mo;Leicht;Dunkelheit;Trocken;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,1139618940000;49,0297514730000;2016-11-01T17:00:00Z;2016-11-01
106;2016;11;5;Do;Toedlich;Dunkelheit;Trocken;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;12,0474959000000;49,0283759240000;2016-11-01T05:00:00Z;2016-11-01
107;2016;11;17;Di;Leicht;Dunkelheit;Trocken;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;12,1129136040000;49,0205524280000;2016-11-01T17:00:00Z;2016-11-01
108;2016;12;17;Di;Leicht;Dunkelheit;Nass/Feucht;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,0683404580000;49,0195599710000;2016-12-01T17:00:00Z;2016-12-01
109;2016;12;8;Mi;Leicht;Tageslicht;Trocken;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;12,1129155210000;49,0205612430000;2016-12-01T08:00:00Z;2016-12-01
110;2016;11;18;Mi;Leicht;Dunkelheit;Trocken;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,0431971990000;49,0267424940000;2016-11-01T18:00:00Z;2016-11-01
111;2016;12;12;Fr;Leicht;Tageslicht;Trocken;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;12,0940687380000;48,9910835390000;2016-12-01T12:00:00Z;2016-12-01
112;2016;12;6;Mo;Leicht;Dunkelheit;Nass/Feucht;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;12,1809359280000;49,0021169360000;2016-12-01T06:00:00Z;2016-12-01
113;2016;12;16;Mo;Leicht;Dunkelheit;Trocken;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,1864161580000;49,0002172540000;2016-12-01T16:00:00Z;2016-12-01
114;2016;12;7;Do;Leicht;Tageslicht;Nass/Feucht;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;12,1454647610000;49,0252263240000;2016-12-01T07:00:00Z;2016-12-01
115;2016;12;17;Di;Leicht;Dunkelheit;Nass/Feucht;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;12,0628771650000;49,0127785190000;2016-12-01T17:00:00Z;2016-12-01
116;2016;12;17;Sa;Leicht;Dunkelheit;Trocken;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,1139280340000;49,0258958580000;2016-12-01T17:00:00Z;2016-12-01
117;2016;12;13;Mo;Leicht;Tageslicht;Nass/Feucht;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;12,0605536100000;49,0075292610000;2016-12-01T13:00:00Z;2016-12-01
118;2016;12;15;Di;Leicht;Dunkelheit;Nass/Feucht;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,0746109930000;49,0280686380000;2016-12-01T15:00:00Z;2016-12-01
119;2016;12;17;Do;Leicht;Dämmerung;Trocken;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,1706717710000;49,0005282790000;2016-12-01T17:00:00Z;2016-12-01
120;2016;12;16;Do;Leicht;Dunkelheit;Nass/Feucht;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;12,1207270990000;49,0291607820000;2016-12-01T16:00:00Z;2016-12-01
121;2016;12;19;Fr;Schwer;Dunkelheit;Trocken;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;12,1699886910000;49,0004951420000;2016-12-01T19:00:00Z;2016-12-01
122;2016;12;13;Mi;Leicht;Tageslicht;Trocken;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;12,1103640320000;49,0361406750000;2016-12-01T13:00:00Z;2016-12-01
123;2016;12;22;Do;Leicht;Dunkelheit;Nass/Feucht;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,0764173580000;49,0286536310000;2016-12-01T22:00:00Z;2016-12-01
124;2016;1;18;Do;Leicht;Dunkelheit;Nass/Feucht;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;12,0426863090000;49,0128772700000;2016-01-01T18:00:00Z;2016-01-01
125;2016;1;12;Mi;Leicht;Tageslicht;Trocken;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;12,1198352660000;49,0076600040000;2016-01-01T12:00:00Z;2016-01-01
126;2016;1;16;Mo;Leicht;Dunkelheit;Trocken;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;12,0573898950000;49,0167829160000;2016-01-01T16:00:00Z;2016-01-01
127;2016;1;9;Fr;Leicht;Tageslicht;Nass/Feucht;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;12,0990784090000;49,0126066410000;2016-01-01T09:00:00Z;2016-01-01
128;2016;1;19;Do;Leicht;Dunkelheit;Nass/Feucht;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,1183620530000;49,0290993810000;2016-01-01T19:00:00Z;2016-01-01
129;2016;1;11;Mi;Leicht;Tageslicht;Nass/Feucht;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;12,1143935220000;49,0276462270000;2016-01-01T11:00:00Z;2016-01-01
130;2016;1;0;Mi;Leicht;Dunkelheit;Nass/Feucht;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;12,0776908170000;49,0208156690000;2016-01-01T00:00:00Z;2016-01-01
131;2016;1;0;Fr;Leicht;Dunkelheit;Trocken;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;12,0968210630000;49,0286760970000;2016-01-01T00:00:00Z;2016-01-01
132;2016;1;12;Sa;Schwer;Tageslicht;Nass/Feucht;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,0737165220000;49,0080216140000;2016-01-01T12:00:00Z;2016-01-01
133;2016;1;15;Mi;Leicht;Tageslicht;Nass/Feucht;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,1040777500000;49,0150309320000;2016-01-01T15:00:00Z;2016-01-01
134;2016;1;15;Di;Leicht;Tageslicht;Nass/Feucht;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,1059501630000;49,0137644220000;2016-01-01T15:00:00Z;2016-01-01
135;2016;1;15;Mo;Leicht;Dämmerung;Trocken;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,1234939300000;49,0270045540000;2016-01-01T15:00:00Z;2016-01-01
136;2016;1;20;Fr;Leicht;Dunkelheit;Winterglatt;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;12,1038585310000;49,0150545850000;2016-01-01T20:00:00Z;2016-01-01
137;2016;1;16;Di;Leicht;Tageslicht;Trocken;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;12,0802752720000;49,0152897300000;2016-01-01T16:00:00Z;2016-01-01
138;2016;1;18;Di;Leicht;Dunkelheit;Nass/Feucht;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;12,0827415620000;49,0009997140000;2016-01-01T18:00:00Z;2016-01-01
139;2016;1;15;Mo;Leicht;Tageslicht;Nass/Feucht;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12,0891376570000;48,9920778920000;2016-01-01T15:00:00Z;2016-01-01
